project_name,project_url,property_code,entity_id,space_heating_requirement,primary_energy_requirement,ber,sap
Scotland's Design Expo,http://www.getembed.com/4/projects/003f8085a4464cf3feb43ec0ae9d8ce155399053/entities/,A2 - Plot 3,43574507-fea9-468b-8f05-9347c443526d,5159,127.41,20.83,80 C
Scotland's Design Expo,http://www.getembed.com/4/projects/003f8085a4464cf3feb43ec0ae9d8ce155399053/entities/,D2 - Plot 8,78742532-631d-4aab-8727-df04a549b889,1676,98.7,4.78,B 87
Scotland's Design Expo,http://www.getembed.com/4/projects/003f8085a4464cf3feb43ec0ae9d8ce155399053/entities/,D1 - Plot 8,b9b19789-e0fe-48e8-8db8-27d281714769,1676,98.7,4.78,B 87
Scotland's Design Expo,http://www.getembed.com/4/projects/003f8085a4464cf3feb43ec0ae9d8ce155399053/entities/,C1 - Plot 4.3,7f0527e9-16c7-48fd-90c1-3310afcb42e5,2056,216.54,31.96,B 83
Scotland's Design Expo,http://www.getembed.com/4/projects/003f8085a4464cf3feb43ec0ae9d8ce155399053/entities/,A1 - Plot 3,5c230d38-7713-4a0b-abcc-db77661396c1,5720,132.97,21.75,79 C
Scotland's Design Expo,http://www.getembed.com/4/projects/003f8085a4464cf3feb43ec0ae9d8ce155399053/entities/,A1 - Plot 3,5c230d38-7713-4a0b-abcc-db77661396c1,6155.52,132.97,21.75,79 C
Scotland's Design Expo,http://www.getembed.com/4/projects/003f8085a4464cf3feb43ec0ae9d8ce155399053/entities/,B2 - Plot 4.2,9c6ec875-448d-4a9e-86ba-0638f26fc596,4037,117,20.19,B 84
Scotland's Design Expo,http://www.getembed.com/4/projects/003f8085a4464cf3feb43ec0ae9d8ce155399053/entities/,B1 - Plot 4.2,f726b558-68b6-480e-909a-499ff39f0598,3931,116,19.94,B 84
Scotland's Design Expo,http://www.getembed.com/4/projects/003f8085a4464cf3feb43ec0ae9d8ce155399053/entities/,C2 - Plot 4.3,65a0171b-9a9b-4037-837a-9badac1ea59e,4778,175.84,25.82,C 78
Monitoring of the re-development of a Guinness Partnership estate near Rotherham,http://www.getembed.com/4/projects/d1aa67e09481edcbe97168898e0f35ab0a1bed6d/entities/,Property 3A,1d3f8fbcd69bdc40aa6f8b0df1323b44100d99c3,2807.94,Not specified,16.07,85
Monitoring of the re-development of a Guinness Partnership estate near Rotherham,http://www.getembed.com/4/projects/d1aa67e09481edcbe97168898e0f35ab0a1bed6d/entities/,Property 5A,ac72c1391a5da81b6ae29c2f6eea572685151088,2133.05,4345.53,3.01,97
Monitoring of the re-development of a Guinness Partnership estate near Rotherham,http://www.getembed.com/4/projects/d1aa67e09481edcbe97168898e0f35ab0a1bed6d/entities/,Property 5A,ac72c1391a5da81b6ae29c2f6eea572685151088,2012.29,Not specified,-0.35,100.34
Monitoring of the re-development of a Guinness Partnership estate near Rotherham,http://www.getembed.com/4/projects/d1aa67e09481edcbe97168898e0f35ab0a1bed6d/entities/,Property 3B,d6bc74c6c7d40fbcb3bf729de2ab41bd834a1c94,2807.94,Not specified,16.07,85
In Use and POE of High Density Apartments,http://www.getembed.com/4/projects/ab55b07de10b3541a11070ba36c2a3343d649e22/entities/,BPE1156,1bfde63b6d538fd4383a47c83fad56272338364a,44.57,178.03,26.83,74.0
In Use and POE of High Density Apartments,http://www.getembed.com/4/projects/ab55b07de10b3541a11070ba36c2a3343d649e22/entities/,BPE1155,3025076f3e268ac7c1bf5744c435e87d3bc7d36f,7.4,118.42,24.15,78.0
Tigh-Na-Cladach affordable housing: 1 Passivhaus home & 2 low-energy homes,http://www.getembed.com/4/projects/10ee6a401f9a85dd48919ae80ced891c4df21d4a/entities/,Plot TA2,4b37b032-a8dc-4e98-b31f-6f8429b276c3,4508,196.8,31.96,C 76
Tigh-Na-Cladach affordable housing: 1 Passivhaus home & 2 low-energy homes,http://www.getembed.com/4/projects/10ee6a401f9a85dd48919ae80ced891c4df21d4a/entities/,Plot TB1,0aeaae34-475e-4ee4-95d5-fae05169ea93,1133,111.27,Not used - default appraoch,C 80
Tigh-Na-Cladach affordable housing: 1 Passivhaus home & 2 low-energy homes,http://www.getembed.com/4/projects/10ee6a401f9a85dd48919ae80ced891c4df21d4a/entities/,Plot TA1,62fceb58-5292-43c9-a925-64bae550898f,4508,196.8,31.96,C 76
Sinclair Meadows Carbon Negative Community Village,http://www.getembed.com/4/projects/35ded735e631e9332ada322369d8c98abb111fed/entities/,450099a,da0158b39a68c545da7a18da5c2628001a504544,6.44,-31.97,-16.67,107.87
Aberfawr Terrace. Caerphilly,http://www.getembed.com/4/projects/66a1ade5a7fecd82507b5eeaf83e16c5a1cf02fd/entities/,TSB1213,e7cf18577c4eb7a72cb0e80f2aaec97d91cccc4a,27.25,78.6879,11.44,90.0
Seager Distillery Site Housing Development,http://www.getembed.com/4/projects/abd2ca103c648becf14f655e462d8afa292a7375/entities/,Plot 2,f26c6b50-e581-4f02-8ac8-9b22b4c6e74f,31.8,106.48,13.12,85
Seager Distillery Site Housing Development,http://www.getembed.com/4/projects/abd2ca103c648becf14f655e462d8afa292a7375/entities/,Plot 2,f26c6b50-e581-4f02-8ac8-9b22b4c6e74f,37.01,113.2,13.82,84
Seager Distillery Site Housing Development,http://www.getembed.com/4/projects/abd2ca103c648becf14f655e462d8afa292a7375/entities/,Plot 3,83a54d9e-7e35-49c3-a349-44845cc6a881,35.13,117.38,14.34,84
Seager Distillery Site Housing Development,http://www.getembed.com/4/projects/abd2ca103c648becf14f655e462d8afa292a7375/entities/,Plot 3,83a54d9e-7e35-49c3-a349-44845cc6a881,36.98,119.75,14.6,84
Seager Distillery Site Housing Development,http://www.getembed.com/4/projects/abd2ca103c648becf14f655e462d8afa292a7375/entities/,Plot 1,5c43d4b0-1d2a-456d-818f-0f48717274c9,11.36,97.91,12.31,89
Seager Distillery Site Housing Development,http://www.getembed.com/4/projects/abd2ca103c648becf14f655e462d8afa292a7375/entities/,Plot 1,5c43d4b0-1d2a-456d-818f-0f48717274c9,14.98,102.49,12.77,88
Future Works,http://www.getembed.com/4/projects/12ce7bbb5cceea4736e501bd0c0f27e190ffd754/entities/,Plot 2,a9b617a4-1880-41c2-b5ad-f809b993f0fc,8.63,15.21,-0.15,101 (A)
Centenary Quay Post Occupancy Study,http://www.getembed.com/4/projects/194f146edbb95f2cf7907d0ca4fc1e9474903c99/entities/,Plot 120,2cd308755ae52fd27adacd75c4eb7b71de2e0a7d,28.86,70.35,10.76,87.0
Centenary Quay Post Occupancy Study,http://www.getembed.com/4/projects/194f146edbb95f2cf7907d0ca4fc1e9474903c99/entities/,Plot 120,2cd308755ae52fd27adacd75c4eb7b71de2e0a7d,28.86,70.35,10.76,B/87
Centenary Quay Post Occupancy Study,http://www.getembed.com/4/projects/194f146edbb95f2cf7907d0ca4fc1e9474903c99/entities/,Plot 119,ed68e49b-3005-4bdf-b025-cd8760abdca9,28.85,70.34,10.76,B/87
Centenary Quay Post Occupancy Study,http://www.getembed.com/4/projects/194f146edbb95f2cf7907d0ca4fc1e9474903c99/entities/,Plot 118,fce457d8-f397-4d66-b929-139032fbb1fd,28.86,70.24,10.71,B/87
Camden Passivhaus,http://www.getembed.com/4/projects/5f13ab15582b4e9161997831404ccf9756748dab/entities/,BPE049,0d9726ba6c83c0fb07d945abd33bca2940734b27,13.0,99.0,12.76,88.0
"Cross Lane Development, Royston, Barnsley",http://www.getembed.com/4/projects/4af13de337d5bf7dbbfa010ef44c0e98d89c29ba/entities/,Plot 5,0fe824d4-17ad-413f-9152-715c830fdb0c,3874.6,27.33,5.87,93
"Cross Lane Development, Royston, Barnsley",http://www.getembed.com/4/projects/4af13de337d5bf7dbbfa010ef44c0e98d89c29ba/entities/,Plot 5,0fe824d4-17ad-413f-9152-715c830fdb0c,48.19,28.26,6.05,93
Green Street,http://www.getembed.com/4/projects/9c1b0e4813b841e20ff936dd40d3f3d53843d193/entities/,Property 4,1e5e215292de0cd67fa661232a18e99702e58137,19.07,54.98,7.77,93
Green Street,http://www.getembed.com/4/projects/9c1b0e4813b841e20ff936dd40d3f3d53843d193/entities/,Property 4,1e5e215292de0cd67fa661232a18e99702e58137,2355.36,54.99,9.69,93
Green Street,http://www.getembed.com/4/projects/9c1b0e4813b841e20ff936dd40d3f3d53843d193/entities/,Property 3,9d99683b5c6fde22bd31fcd20fa4c62015224dc6,21.93,55.06,7.79,93
Green Street,http://www.getembed.com/4/projects/9c1b0e4813b841e20ff936dd40d3f3d53843d193/entities/,Property 3,9d99683b5c6fde22bd31fcd20fa4c62015224dc6,2370.84,55.08,9.72,93
Green Street,http://www.getembed.com/4/projects/9c1b0e4813b841e20ff936dd40d3f3d53843d193/entities/,Property 2,d13147127a993bdf89fff6cff49420e2ac19c7d8,2355.36,54.99,9.69,93
Green Street,http://www.getembed.com/4/projects/9c1b0e4813b841e20ff936dd40d3f3d53843d193/entities/,Property 2,d13147127a993bdf89fff6cff49420e2ac19c7d8,19.09,54.99,7.77,93
Green Street,http://www.getembed.com/4/projects/9c1b0e4813b841e20ff936dd40d3f3d53843d193/entities/,Property 1,91130ac89d1c1ed6d6b8301a2015f184c7518c51,3012.63,58.22,10.42,92
Green Street,http://www.getembed.com/4/projects/9c1b0e4813b841e20ff936dd40d3f3d53843d193/entities/,Property 1,91130ac89d1c1ed6d6b8301a2015f184c7518c51,21.16,58.22,8.47,92
Birchway Eco-Community,http://www.getembed.com/4/projects/b109d00145de43f62e41cbbf666dcc0069b3b717/entities/,Plot x,cf900b11838d1c4625477a6a3475dbe2986af1bb,36.3,108.71,0.02,89.0
